period,start,end,series,n,H_hat,CI_90_lo,CI_90_hi,B,alpha_qv,FBM_cov_md,rf_factor
Period 1,2014-12-01,2016-07-08,H1 (stock: log_price),393,0.5002200948166882,0.41372576147072243,0.5815231826750081,300,0.2,1,0.7
Period 1,2014-12-01,2016-07-08,H2 (vol: log_vol),393,0.492515800146827,0.4067492532742697,0.5704231344464701,300,0.2,1,0.7
Period 1,2014-12-01,2016-07-08,H3 (rate: log_interest),393,0.43831462471002675,0.35003887292039604,0.5212315861607607,300,0.2,1,0.7
Period 2,2016-07-11,2020-01-20,H1 (stock: log_price),860,0.4737819789026549,0.42517871614496855,0.5197639633517201,300,0.2,1,0.7
Period 2,2016-07-11,2020-01-20,H2 (vol: log_vol),860,0.4881287204739802,0.43967412059495803,0.5398507444708809,300,0.2,1,0.7
Period 2,2016-07-11,2020-01-20,H3 (rate: log_interest),860,0.5040749000108703,0.44589146069153934,0.5551010158285076,300,0.2,1,0.7
Period 3,2020-01-21,2021-02-16,H1 (stock: log_price),262,0.551996455208525,0.4519397351464653,0.6440022513087325,300,0.2,1,0.7
Period 3,2020-01-21,2021-02-16,H2 (vol: log_vol),262,0.5168797864561632,0.41505457399467216,0.6136118160156921,300,0.2,1,0.7
Period 3,2020-01-21,2021-02-16,H3 (rate: log_interest),262,0.3266815301279496,0.24004277116477907,0.43190331138183374,300,0.2,1,0.7
Period 4,2021-02-17,2023-01-04,H1 (stock: log_price),460,0.5049990675722915,0.424909473856964,0.5700542561797671,300,0.2,1,0.7
Period 4,2021-02-17,2023-01-04,H2 (vol: log_vol),460,0.38528764934362414,0.3253081625846051,0.4524496408032108,300,0.2,1,0.7
Period 4,2021-02-17,2023-01-04,H3 (rate: log_interest),460,0.37975844877617476,0.31260811682692285,0.4598736008642755,300,0.2,1,0.7
Period 5,2023-01-05,2024-08-05,H1 (stock: log_price),390,0.5447265100599629,0.45977516700509324,0.6108147077516218,300,0.2,1,0.7
Period 5,2023-01-05,2024-08-05,H2 (vol: log_vol),390,0.3641265182683714,0.2863004491849609,0.43581481225556007,300,0.2,1,0.7
Period 5,2023-01-05,2024-08-05,H3 (rate: log_interest),390,0.4546931627181033,0.38049167010084817,0.5308579224745619,300,0.2,1,0.7
Period 6,2024-08-06,2025-12-11,H1 (stock: log_price),321,0.41837068753522166,0.33040371968112464,0.49835533997384884,300,0.2,1,0.7
Period 6,2024-08-06,2025-12-11,H2 (vol: log_vol),321,0.3435115869439927,0.2691135381136839,0.4268830560670698,300,0.2,1,0.7
Period 6,2024-08-06,2025-12-11,H3 (rate: log_interest),321,0.4722029301691065,0.38533960873538997,0.5504945045338133,300,0.2,1,0.7
